timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073125314,-0.1288366,-0.09565142,0.73495424,120.89,101.85,-1.19,2,12.0,5.0164485
1784073125314,0.90649235,-0.06637037,-0.124688454,82.81,87.99,-4.34,2,12.0,5.0164485
1784073125314,1.2476165,0.24034858,-0.25254902,22.33,64.89,-23.73,2,12.0,5.0164485
1784073125363,0.9457778,1.0572898,0.041237473,-10.36,25.34,-72.24,2,12.0,5.0164485
1784073125363,0.4450719,2.268549,0.030013073,49.56,21.0,-167.09,2,12.0,5.0164485
1784073125363,-0.3665011,3.246048,-0.46703267,157.29,-5.7400002,-240.17,2,12.0,5.0164485
1784073125363,-1.2127234,4.3775163,-0.37186927,152.67,-58.66,-176.47,2,12.0,5.0164485
1784073125363,-2.5125577,2.5767322,-1.0265447,112.49,-2.94,-72.73,2,12.0,5.0164485
1784073125363,-1.2703093,1.4437996,-0.2637734,-90.58,7.91,-6.16,2,12.0,5.0164485
1784073125363,-0.39553812,1.3579085,0.5397473,-87.22,8.82,17.01,2,12.0,5.0164485
1784073125363,-0.08101089,1.6612114,-0.26133332,8.82,23.31,12.95,2,12.0,5.0164485
1784073125408,0.056122,1.8278692,-0.4309194,6.44,31.01,-4.9,2,12.0,5.0164485
1784073125408,0.21521568,1.7322179,-0.0978475,-18.48,28.14,-25.9,2,12.0,5.0164485
1784073125408,0.2405926,1.73173,-0.11858824,-6.58,20.51,-36.89,2,12.0,5.0164485
1784073125408,0.17129412,1.7349019,-0.2066754,-8.61,5.67,-35.91,2,12.0,5.0164485
1784073125408,0.0978475,1.7819957,-0.23302832,-27.09,-13.2300005,-27.16,2,12.0,5.0164485
1784073125408,0.027084969,1.6309543,-0.22741611,-52.08,-25.9,-14.28,2,12.0,5.0164485
1784073125408,-0.08027887,1.4989456,-0.17105012,-62.510002,-27.93,-1.4,2,12.0,5.0164485
1784073125408,-0.1649499,1.3957298,-0.17959042,-53.06,-27.16,7.91,2,12.0,5.0164485
1784073125494,-0.21667975,1.3064227,-0.18715468,-39.76,-12.11,15.47,2,12.0,5.0164485
1784073125494,-0.20862745,1.2432244,-0.21082354,-31.64,0.0,19.95,2,12.0,5.0164485
1784073125494,-0.14884531,1.1434249,-0.18032244,-29.47,-0.35,21.49,3,18.0,5.0164485
1784073125494,-0.11858824,1.0421612,-0.10760784,-28.7,2.1,23.17,3,18.0,5.0164485
1784073125494,7.320261E-4,0.95553815,-0.18300654,-26.32,-7.14,23.94,3,18.0,5.0164485
1784073125494,0.07661873,0.867695,-0.14957735,-28.35,-13.3,25.41,3,18.0,5.0164485
1784073125494,-0.024888888,0.7915643,-0.363817,-23.87,-21.42,27.37,3,18.0,5.0164485
1784073125494,0.013176471,0.6349107,-0.4062745,-32.97,-31.29,28.84,3,18.0,5.0164485
1784073125589,-0.008540305,0.5282788,-0.29769063,-34.16,-35.07,30.59,3,18.0,5.0164485
1784073125589,0.08979521,0.43579954,-0.16690196,-26.95,-44.66,31.92,3,18.0,5.0164485
1784073125589,0.04538562,0.3252636,-0.06295425,-10.99,-52.36,33.11,3,18.0,5.0164485
1784073125589,0.07808279,0.40920264,-0.13176471,10.92,-63.91,34.02,3,18.0,5.0164485
1784073125589,0.034405228,0.39065796,-0.23937255,15.54,-65.24,34.44,3,18.0,5.0164485
1784073125589,0.058562092,0.18910675,-0.13640088,-5.6,-56.21,31.99,3,18.0,5.0164485
1784073125589,0.12395642,0.14494118,-0.004148148,-17.78,-44.87,22.960001,3,18.0,5.0164485
1784073125589,0.1093159,-0.02830501,0.0148845315,-7.98,-35.77,12.46,3,18.0,5.0164485
1784073125676,0.14616123,-0.052705884,-0.14054902,6.09,-23.8,1.96,3,18.0,5.0164485
1784073125676,0.24034858,-0.13640088,-0.029769063,6.86,-11.76,-7.98,3,18.0,5.0164485
1784073125676,0.3194074,-0.13444881,0.34942046,4.97,-3.5,-14.56,3,18.0,5.0164485
1784073125676,0.68810457,-0.14152505,1.401342,-18.41,-20.23,-17.57,3,18.0,5.0164485
1784073125676,1.1053594,-0.1481133,2.07017,8.26,-53.41,-11.76,3,18.0,5.0164485
1784073125676,0.5463355,-0.030989105,1.0014118,76.37,-66.78,-2.38,4,24.0,5.0164485
1784073125676,-0.9125926,-0.63344663,-0.17861438,85.61,-48.3,-16.45,4,24.0,5.0164485
1784073125676,-0.8176732,-0.39334205,-0.065394334,92.05,-26.460001,-32.13,4,24.0,5.0164485
